na_item,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B1GQ,CP_EUR_HAB,AL	2400 	2600 	3000 	3000 	3100 	3200 	3300 	3300 	3500 	3600 	3700 p	: 
B1GQ,CP_EUR_HAB,AT	32400 	34200 	35300 	34500 	35400 	37000 	37800 	38200 	39000 	39900 	40400 	42000 
B1GQ,CP_EUR_HAB,BE	31000 	32400 	33100 	32300 	33500 	34500 	35000 	35300 	35800 	36500 	37500 	38600 
B1GQ,CP_EUR_HAB,BG	3500 	4200 	4900 	4900 	5100 	5600 	5700 	5800 	5900 	6300 	6800 	7100 p
B1GQ,CP_EUR_HAB,CH	45600 	46200 	49300 	50200 	56100 	63700 	65000 	64100 	65300 	73900 	72200 p	: 
B1GQ,CP_EUR_HAB,CY	21700 	22900 	24200 	23100 	23300 	23200 	22600 	21000 	20700 	20900 	21400 p	22400 p
B1GQ,CP_EUR_HAB,CZ	12100 	13400 	15500 	14200 	14900 	15600 	15400 	15000 	14900 	16000 	16700 	18100 
B1GQ,CP_EUR_HAB,DE	29500 	31000 	31700 	30600 	32100 	33700 	34300 	35000 	36200 	37300 	38200 	39500 
B1GQ,CP_EUR_HAB,DK	41500 	42700 	44000 	41900 	43800 	44500 	45500 	46100 	47100 	47800 	48400 	50000 
B1GQ,CP_EUR_HAB,EA	27900 	29100 	29600 	28200 	28900 	29500 	29500 	29700 	30200 	31000 	31700 	32700 
B1GQ,CP_EUR_HAB,EA19	27000 	28400 	28900 	27800 	28500 	29200 	29200 	29500 	30000 	31000 	31700 	32700 
B1GQ,CP_EUR_HAB,EE	10000 	12100 	12300 	10600 	11000 	12500 	13500 	14300 	15000 	15500 	16000 	17500 
B1GQ,CP_EUR_HAB,EL	19800 	21100 	21800 	21400 	20300 	18600 p	17300 p	16500 p	16400 p	16300 p	16200 p	16600 p
B1GQ,CP_EUR_HAB,ES	22700 	23900 	24300 	23300 	23200 	22900 	22200 	22000 	22300 	23300 p	24100 p	25000 p
