citizen,age,unit,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
FOR_STLS,TOTAL,NR,T,AD	50298 	51687 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR_STLS,TOTAL,NR,T,AT	783539 	793364 	826485 	855557 	879102 	908591 	946610 	999095 	1060446 	1139736 	1260188 	1333239 
FOR_STLS,TOTAL,NR,T,BE	900473 e	932161 	971448 	1009055 p	1052844 p	1162608 b	1197598 	1222741 	1237696 	1272751 	1327421 	1346358 
FOR_STLS,TOTAL,NR,T,BG	26000 e	25500 e	36265 	37132 	38002 	38815 	39432 	45201 	54422 	65622 	73822 	79395 
FOR_STLS,TOTAL,NR,T,CH	1541825 	1554417 	1602093 	1669715 	1714004 	1765750 b	1815063 	1869070 	1936412 	1997179 	2047200 	2099319 
FOR_STLS,TOTAL,NR,T,CY	110200 e	118100 	125300 e	124649 	163102 	167783 	172427 	170076 	159336 	144599 	139606 	140384 
FOR_STLS,TOTAL,NR,T,CZ	258325 	296202 	347649 	407541 	424419 	416737 	422966 	422280 	434581 	457323 	476345 	510841 
FOR_STLS,TOTAL,NR,T,DE	6711072 	7207716 	7255395 	7185921 	7130919 	6107216 	6342394 	6643699 	7015236 	7539774 	8651958 	9219989 
FOR_STLS,TOTAL,NR,T,DK	269964 	278010 	298450 	320033 	329797 	345884 	358714 	374569 	397221 	422492 	463088 	484934 
FOR_STLS,TOTAL,NR,T,EE	242000 e	236400 e	229300 e	214437 	212659 	208038 b	206558 	197141 	194917 	197611 b	197638 	196344 
FOR_STLS,TOTAL,NR,T,EL	884000 e	887600 e	: 	927584 	931424 	934395 	921447 	886450 	854998 	821969 	798357 	810034 
FOR_STLS,TOTAL,NR,T,ES	3930916 	4449431 	5086293 	5386659 	5402575 	5312439 	5236030 	5072680 	4677059 	4454354 	4417517 	4419621 
FOR_STLS,TOTAL,NR,T,FI	112529 	121110 	132708 	142288 	154623 	166627 	181697 	194250 	206651 	218803 	228224 	242003 
FOR_STLS,TOTAL,NR,T,FR	3510000 e	3685544 e	3709814 e	3750406 	3824590 	3875096 	3944725 	4092106 	4212567 	4357236 p	4405775 p	4638556 p
FOR_STLS,TOTAL,NR,T,HR	: 	: 	: 	: 	: 	: 	: 	27854 	31704 	36679 	40926 	45951 
FOR_STLS,TOTAL,NR,T,HU	155978 	167715 	176580 	186365 	200005 	209202 	143125 	141122 	140301 	145727 	156366 	150885 
FOR_STLS,TOTAL,NR,T,IE	429281 	498706 b	559021 	579770 	570190 	560478 	551314 b	537183 	529055 	532196 	546050 	564884 
FOR_STLS,TOTAL,NR,T,IS	13746 	: 	23420 	24379 	21701 	21143 	20957 	21446 	22744 	24294 	26485 	30275 
FOR_STLS,TOTAL,NR,T,IT	2670514 	2938922 	3432651 	3402435 	3648128 	3879224 	4052081 	4387721 	4922085 	5014437 	5026153 	5047028 
FOR_STLS,TOTAL,NR,T,LI	: 	: 	: 	11770 	11886 	12004 	12144 	12337 	12519 	12579 	12775 	12795 
FOR_STLS,TOTAL,NR,T,LT	32685 	32240 	31998 	30907 	27318 	24031 	22865 	22224 	21577 	22470 	18682 	20117 
FOR_STLS,TOTAL,NR,T,LU	191400 	198213 	205889 	214848 	215699 	220705 	229870 	238844 	248914 	258679 	269175 	281246 b
FOR_STLS,TOTAL,NR,T,LV	456757 e	432951 	404876 	382704 	362378 	342799 	324288 	315414 	304835 	298433 	288946 	279446 
FOR_STLS,TOTAL,NR,T,ME	: 	: 	: 	: 	: 	44324 	: 	: 	: 	: 	: 	: 
FOR_STLS,TOTAL,NR,T,MT	12159 e	13401 	14725 	16791 	18952 	19139 	20302 	23611 	29020 	37823 	46935 	54321 
FOR_STLS,TOTAL,NR,T,NL	599648 	597552 	688375 	637136 	652188 	673235 	697741 	714552 	735354 	773288 	834786 	914997 
FOR_STLS,TOTAL,NR,T,NO	222209 	238237 	266260 	302908 	331618 	368475 	409193 	457396 	482054 	512279 	534310 	559059 
FOR_STLS,TOTAL,NR,T,PL	49499 e	44431 	57842 	: 	75210 	79338 p	85829 p	93265 	101204 p	108279 p	149586 ep	210328 ep
FOR_STLS,TOTAL,NR,T,PT	276000 e	434869 	446333 	440277 	454191 	445262 	436822 	417042 	401320 	395195 	388731 	397731 
FOR_STLS,TOTAL,NR,T,RO	: 	: 	: 	: 	: 	: 	73706 p	70666 	73434 	88771 	107187 	114462 
FOR_STLS,TOTAL,NR,T,SE	477760 	472329 	524488 	547664 	590475 	622275 	646095 	659374 	687192 	731215 	773232 	841165 
FOR_STLS,TOTAL,NR,T,SI	48943 	53524 	68621 	70554 b	82176 	82746 	85555 	91385 	96608 	101532 	107766 	114438 
FOR_STLS,TOTAL,NR,T,SK	25561 	32125 	40904 	61361 b	65894 	69607 	70727 	72925 	59151 	61766 	65840 	69695 
FOR_STLS,TOTAL,NR,T,TR	292000 	: 	98064 	103753 	167344 	175384 	235067 	272842 	: 	: 	: 	: 
FOR_STLS,TOTAL,NR,T,UK	3425000 e	3659900 e	4020800 e	4244092 	4435587 	4546862 	4884417 	4978592 	5049277 	5422488 	5640674 	6071093 
