citizen,agedef,age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,COMPLET,TOTAL,NR,T,AT	114465 	98535 	72862 b	73772 	69295 	70978 	82230 	91557 	101866 	116262 	166323 	129509 
TOTAL,COMPLET,TOTAL,NR,T,BE	132810 	137699 	146409 	: 	: 	135281 b	147377 b	129477 	120078 	123158 	146626 	123702 
TOTAL,COMPLET,TOTAL,NR,T,BG	: 	: 	1561 	: 	: 	: 	: 	14103 bp	18570 p	26615 p	25223 p	21241 
TOTAL,COMPLET,TOTAL,NR,T,CH	118270 	127586 	165634 	184297 	160623 	161778 	148799 b	149051 	160157 	156282 	153627 	149305 
TOTAL,COMPLET,TOTAL,NR,T,CY	10320 	13077 	19328 	21060 	22581 b	20206 	23037 	17476 	13149 	9212 	15183 	17391 
TOTAL,COMPLET,TOTAL,NR,T,CZ	60294 	68183 	104445 	108267 b	75620 	48317 	27114 b	34337 	30124 b	29897 	29602 	64083 
TOTAL,COMPLET,TOTAL,NR,T,DE	707352 	661855 	680766 	682146 	346216 b	404055 	489422 	592175 	692713 	884893 	1543848 e	1029852 b
TOTAL,COMPLET,TOTAL,NR,T,DK	52458 	56750 	64656 	57357 b	51800 	52236 	52833 	54409 	60312 	68388 	78492 	74383 
TOTAL,COMPLET,TOTAL,NR,T,EE	1436 	2234 	3741 	3671 	3884 	2810 	3709 	2639 	4109 	3904 	15413 b	14822 
TOTAL,COMPLET,TOTAL,NR,T,EL	70933 	63094 	63298 	66529 	58613 	60462 	60089 b	58200 	57946 	59013 	64446 b	116867 b
TOTAL,COMPLET,TOTAL,NR,T,ES	719284 	840844 	958266 	599075 b	392962 	360705 	371331 	304053 	280772 	305454 	342114 	414746 
TOTAL,COMPLET,TOTAL,NR,T,FI	21355 	22451 	26029 	29114 	26699 	25636 	29481 	31278 	31941 	31507 	28746 	34905 
TOTAL,COMPLET,TOTAL,NR,T,FR	: 	301544 b	293980 	296608 	296970 	307111 b	319816 	327431 	338752 	340383 	364221 	378115 
TOTAL,COMPLET,TOTAL,NR,T,HR	: 	14978 	14622 	16883 b	13213 	8846 	8534 	8959 	10378 	10638 	11706 	13985 
TOTAL,COMPLET,TOTAL,NR,T,HU	27820 	25732 p	24361 	37652 b	27894 	25519 b	28018 	33702 	38968 	54581 	58344 	53618 
TOTAL,COMPLET,TOTAL,NR,T,IE	102000 	139434 b	122415 	82592 	50604 	52339 	57292 b	61324 	65539 	73519 	80792 	85185 
TOTAL,COMPLET,TOTAL,NR,T,IS	7773 	9832 	12546 	10288 	3921 b	3948 	4073 	4960 	6406 	5368 	5635 	8710 
TOTAL,COMPLET,TOTAL,NR,T,IT	304960 	279714 	527123 	534712 	442940 	458856 	385793 	350772 	307454 	277631 	280078 	300823 
