country																																																																																																																																
Albania												1.720	1.940	1.750	1.830	1.990	2.190	2.320	2.590	2.260	3.070	2.700	2.690	2.840	2.960	2.720	2.910	2.840	2.920	2.890	2.670	1.870	1.360	1.330	1.420	1.330	1.420	1.210	1.330	1.790	1.790	1.830	2.010	1.970	2.170	2.170	2.120	2.020	2.090	2.140	2.120	2.220	2.000	2.320	2.340	2.190	
Algeria												3.460	4.020	4.820	5.190	5.520	6.300	7.050	8.680	11.000	11.210	12.180	15.870	17.150	17.000	17.740	20.040	19.790	20.900	20.720	22.190	23.470	24.020	24.110	23.240	24.240	23.470	24.050	24.890	26.570	26.990	27.050	28.930	30.750	31.130	32.420	34.710	36.840	37.270	40.760	40.090	41.820	45.970	47.580	51.670	54.010	
Angola												3.850	4.150	4.130	4.220	4.120	4.070	4.020	4.420	4.480	4.560	4.590	4.530	4.660	4.700	4.990	5.050	5.170	5.380	5.500	5.880	6.020	6.060	6.270	6.360	6.350	6.540	6.680	6.660	7.000	7.190	7.510	7.850	8.470	8.720	8.430	9.240	9.860	10.670	11.600	12.170	12.640	13.870	13.890	14.680	14.950	
Argentina												33.650	34.200	35.590	36.300	35.930	37.190	38.180	38.920	41.100	41.810	40.830	41.070	41.820	43.320	41.350	43.870	46.270	47.850	46.510	46.060	47.480	49.940	50.080	53.280	54.040	56.040	57.830	59.810	60.840	61.560	58.560	56.910	60.890	66.520	66.920	72.810	73.750	77.660	75.510	78.670	80.540	80.830	83.000	83.830	85.970	
Armenia																															7.710	8.120	4.130	2.190	1.380	1.640	1.780	1.860	1.900	1.830	2.010	2.010	1.880	1.980	2.090	2.510	2.560	2.850	3.000	2.610	2.480	2.720	2.970	2.900	2.960	3.070	
Australia	31.480	32.660	34.080	35.960	37.400	39.440	41.320	43.570	45.200	46.510	50.820	51.610	53.170	57.060	58.930	60.380	61.830	66.290	66.470	67.980	69.600	70.080	73.120	70.010	72.310	72.530	74.060	77.620	77.750	84.090	86.380	85.170	86.760	90.940	90.880	92.700	98.760	101.280	103.910	106.180	103.100	110.300	111.860	110.790	112.670	113.480	118.170	122.220	126.740	127.130	127.630	128.350	126.770	126.490	125.250	125.300	132.320
Austria	10.900	11.010	11.950	13.090	13.400	13.460	13.930	14.170	15.170	16.230	18.060	18.820	19.820	21.480	20.750	20.120	21.690	21.170	21.880	23.700	23.150	21.930	21.440	21.500	22.330	23.090	23.180	24.050	24.310	23.920	24.880	26.480	25.450	25.740	25.670	26.810	28.500	28.290	28.770	28.710	28.610	30.230	30.480	32.130	32.650	33.540	33.630	33.220	33.410	31.640	33.820	32.860	32.720	33.250	32.010	32.790	33.300
Azerbaijan																															22.660	22.450	18.190	16.300	14.800	13.900	11.750	11.320	11.750	10.930	11.300	11.440	11.560	12.160	12.790	13.430	13.230	12.110	13.320	11.940	11.590	12.560	13.690	13.880	14.320	14.360	
Bahrain												1.410	1.370	2.030	2.270	2.130	2.720	2.480	2.540	3.020	2.810	3.100	3.500	3.370	3.600	4.160	4.450	4.280	4.880	4.930	5.230	5.160	5.660	5.980	6.350	6.430	6.430	7.260	7.610	7.540	7.970	8.180	8.500	8.920	9.040	10.430	11.330	11.390	12.720	12.240	12.710	12.530	12.610	13.900	14.070	14.270	
Bangladesh												5.690	5.870	6.350	6.560	6.730	7.160	7.320	7.580	7.880	8.400	8.570	9.060	9.280	9.410	9.950	10.650	10.490	11.530	12.100	12.740	12.560	13.250	13.990	14.610	15.900	15.990	16.710	17.420	17.650	18.260	19.980	20.450	21.550	21.950	22.790	24.420	25.510	26.780	28.170	30.510	31.650	33.220	33.920	35.420	37.870	
Belarus																															45.500	44.330	36.990	31.500	26.750	24.750	25.410	25.350	24.830	24.180	24.570	24.680	25.160	25.900	26.780	26.760	28.480	27.900	27.940	26.530	27.520	29.340	30.500	27.280	27.750	25.270	
Belgium	23.060	23.610	25.910	28.270	28.340	29.490	29.070	30.500	34.530	37.400	39.930	39.660	43.450	45.990	45.120	42.320	45.380	45.120	47.490	49.010	46.770	43.530	41.480	40.960	42.720	44.110	45.700	46.660	47.240	47.690	47.940	50.080	50.630	49.440	52.460	53.400	56.230	56.240	57.170	57.400	58.090	57.930	55.680	57.980	58.250	58.200	57.730	56.640	58.290	55.900	60.110	56.220	53.820	55.860	52.950	53.270	56.470
Benin												1.100	1.160	1.180	1.210	1.240	1.210	1.250	1.300	1.320	1.350	1.350	1.400	1.440	1.470	1.540	1.560	1.580	1.620	1.630	1.660	1.690	1.730	1.770	1.810	1.850	2.150	2.230	2.200	2.300	1.980	2.110	2.260	2.390	2.490	2.500	2.950	3.210	3.280	3.440	3.700	3.730	3.760	4.000	4.240	4.560	
Bolivia												1.020	1.130	1.190	1.280	1.480	1.620	1.730	1.880	2.070	2.440	2.570	2.700	2.560	2.550	2.520	2.380	2.210	2.310	2.460	2.610	2.690	2.850	3.050	3.350	3.760	4.050	4.410	4.460	4.380	4.910	3.820	4.580	4.760	4.760	5.190	6.500	5.300	5.630	5.760	6.300	6.690	7.650	7.790	8.240	8.280	
Bosnia and Herzegovina																															7.020	6.320	4.450	3.710	1.440	1.490	1.750	2.690	3.350	3.310	4.350	4.200	4.410	4.400	4.810	5.040	5.300	5.300	5.960	6.220	6.480	7.150	6.680	6.450	7.820	8.030	
Botswana																						0.750	0.790	0.800	0.810	0.860	0.940	0.940	1.100	1.180	1.220	1.240	1.430	1.430	1.410	1.450	1.410	1.480	1.670	1.730	1.800	1.820	1.850	1.840	1.810	1.870	1.930	1.990	2.110	1.970	2.150	2.070	2.350	2.480	2.720	2.720	
Brazil												69.780	74.800	81.980	87.240	91.090	95.610	98.810	105.140	111.800	113.850	109.220	111.050	113.820	121.140	129.350	135.400	140.670	142.560	145.440	140.210	142.860	144.350	147.960	155.760	161.090	169.660	178.280	182.550	186.690	187.440	190.710	195.760	198.980	210.040	215.330	222.820	235.460	248.580	240.450	265.880	270.040	281.740	293.730	303.180	297.980	
Brunei Darussalam												0.180	0.180	0.340	0.590	0.740	0.980	1.060	0.990	1.030	1.350	1.300	1.400	1.480	1.700	1.780	1.570	1.610	1.330	1.550	1.730	1.950	2.100	2.020	1.880	2.250	2.260	2.340	2.330	2.370	2.380	2.210	2.160	2.500	2.300	2.220	3.150	3.230	3.540	3.040	3.240	3.870	3.830	3.040	3.550	2.720	
Bulgaria												19.020	19.410	20.500	21.380	23.240	24.350	26.010	27.190	28.250	28.390	28.320	29.510	30.130	30.350	30.640	30.910	30.600	31.330	30.420	28.220	21.900	20.460	21.940	21.280	23.090	22.960	20.810	20.030	18.320	18.610	19.390	18.900	19.360	18.830	19.900	20.460	20.120	19.850	17.510	17.870	19.230	18.360	16.920	17.880	18.610	
Cambodia																																				2.840	2.970	3.010	3.430	3.440	3.410	3.430	3.990	4.110	3.390	3.430	3.430	3.470	3.440	5.090	5.330	5.540	5.790	5.980	6.360	7.040	
